25784,2,2,3,34.90,0.00,0.00,-34.90,0.00,36.30,-0.13,-9,0,0
25884,2,2,3,33.26,0.00,0.00,-34.00,0.00,34.98,-0.13,-7,0,0
25984,2,2,3,31.41,0.00,0.00,-32.23,0.00,33.40,-0.13,-1,0,0
26084,2,2,3,29.37,0.00,0.00,-30.29,0.00,31.55,-0.13,-1,0,0
26184,2,2,3,27.15,0.00,0.00,-28.14,0.00,29.53,-0.13,-6,0,0
26284,2,2,3,24.76,0.00,0.00,-25.83,0.00,27.15,-0.13,-4,0,0
26394,2,2,3,22.22,0.00,0.00,-22.22,0.00,24.34,-0.13,-21,0,0
26494,2,2,3,19.54,0.00,0.00,-19.54,0.00,21.43,-0.13,-11,0,0
26594,2,2,3,16.75,0.00,0.00,-16.75,0.00,18.70,-0.13,-4,0,0
26694,2,2,3,13.84,0.00,0.00,-13.84,0.00,16.06,-0.13,-9,0,0
26794,2,2,3,10.86,0.00,0.00,-10.86,0.00,13.07,-0.13,-5,0,0
26904,2,2,3,7.80,0.00,0.00,-7.80,0.00,9.55,-0.13,-12,0,0
27014,2,2,3,4.70,0.00,0.00,-4.70,0.00,6.38,-0.13,-3,0,0
27114,2,2,3,1.57,0.00,0.00,-1.57,0.00,3.30,-0.13,-3,0,0
27214,2,2,3,-1.57,0.00,0.00,1.57,0.00,0.05,-0.13,-7,0,0
27314,2,2,3,-4.70,0.00,0.00,4.70,0.00,-3.03,-0.13,-6,0,0
27414,2,2,3,-7.80,0.00,0.00,7.80,0.00,-6.11,-0.13,-9,0,0
27514,2,2,3,-10.86,0.00,0.00,10.86,0.00,-9.10,-0.13,-7,0,0
27614,2,2,3,-13.84,0.00,0.00,13.84,0.00,-12.27,-0.13,3,0,0
27714,2,2,3,-16.75,0.00,0.00,16.75,0.00,-15.26,-0.13,-11,0,0
27814,2,2,3,-19.55,0.00,0.00,19.55,0.00,-18.08,-0.13,-10,0,0
27914,2,2,3,-22.22,0.00,0.00,22.22,0.00,-20.98,-0.13,-4,0,0
28015,2,2,3,-24.76,0.00,0.00,24.76,0.00,-23.36,-0.13,-4,0,0
28115,2,2,3,-27.15,0.00,0.00,27.15,0.00,-25.56,-0.13,-8,0,0
28214,2,2,3,-29.37,0.00,0.00,29.37,0.00,-28.02,-0.13,-2,0,0
28315,2,2,3,-31.41,0.00,0.00,31.41,0.00,-30.22,-0.13,-2,0,0
28415,2,2,3,-33.26,0.00,0.00,33.26,0.00,-32.16,-0.13,-5,0,0
28515,2,2,3,-34.90,0.00,0.00,34.90,0.00,-33.92,-0.13,-1,0,0
28615,2,2,3,-36.33,0.00,0.00,36.33,0.00,-35.50,-0.13,-1,0,0
28715,2,2,3,-37.53,0.00,0.00,37.53,0.00,-36.65,-0.13,-8,0,0
28815,2,2,3,-38.50,0.00,0.00,38.50,0.00,-37.79,-0.13,-6,0,0
28915,2,2,3,-39.23,0.00,0.00,39.23,0.00,-38.50,-0.13,-7,0,0
29015,2,2,3,-39.72,0.00,0.00,39.72,0.00,-39.02,-0.13,-7,0,0
29115,2,2,3,-39.97,0.00,0.00,39.97,0.00,-39.29,-0.13,-8,0,0
29226,2,2,3,-39.88,0.00,0.00,39.97,0.00,-39.46,-0.13,-6,0,0
29336,2,2,3,-39.51,0.00,0.00,39.51,0.00,-39.46,-0.13,0,0,0
29436,2,2,3,-38.89,0.00,0.00,39.19,0.00,-39.46,-0.13,0,0,0
29536,2,2,3,-38.04,0.00,0.00,38.43,0.00,-39.02,-0.13,4,0,0
29636,2,2,3,-36.95,0.00,0.00,37.44,0.00,-38.32,-0.13,7,0,0
29747,2,2,3,-35.64,0.00,0.00,35.64,0.00,-36.91,-0.13,6,0,0
29847,2,2,3,-34.11,0.00,0.00,34.11,0.00,-35.59,-0.13,8,0,0
29947,2,2,3,-32.32,0.00,0.00,32.32,0.00,-33.83,-0.13,8,0,0
30057,2,2,3,-30.41,0.00,0.00,30.41,0.00,-31.72,-0.13,7,0,0
30157,2,2,3,-28.28,0.00,0.00,28.28,0.00,-29.70,-0.13,1,0,0
30257,2,2,3,-25.98,0.00,0.00,25.98,0.00,-28.02,-0.13,6,0,0
30366,2,2,3,-23.46,0.00,0.00,23.46,0.00,-24.94,-0.13,10,0,0
30466,2,2,3,-20.90,0.00,0.00,20.90,0.00,-22.48,-0.13,8,0,0
30566,2,2,3,-18.16,0.00,0.00,18.16,0.00,-19.75,-0.13,8,0,0
30666,2,2,3,-15.31,0.00,0.00,15.31,0.00,-16.85,-0.13,6,0,0
30766,2,2,3,-12.36,0.00,0.00,12.36,0.00,-14.12,-0.13,9,0,0
30866,2,2,3,-9.34,0.00,0.00,9.34,0.00,-10.95,-0.13,6,0,0
30966,2,2,3,-6.26,0.00,0.00,6.26,0.00,-8.05,-0.13,8,0,0
31066,2,2,3,-3.14,0.00,0.00,3.14,0.00,-5.32,-0.13,8,0,0
31166,2,2,3,0.00,0.00,0.00,0.00,0.00,-1.80,-0.13,6,0,0
31266,2,2,3,3.14,0.00,0.00,-3.14,0.00,1.28,-0.13,6,0,0
31377,2,2,3,7.81,0.00,0.00,-6.26,0.00,5.24,-0.13,2,0,0
31477,2,2,3,10.86,0.00,0.00,-9.36,0.00,7.79,-0.13,9,0,0
31577,2,2,3,13.84,0.00,0.00,-12.37,0.00,10.87,-0.13,10,0,0
31678,2,2,3,16.75,0.00,0.00,-15.31,0.00,13.78,-0.13,8,0,0
31777,2,2,3,19.55,0.00,0.00,-18.22,0.00,16.50,-0.13,8,0,0
31887,2,2,3,22.22,0.00,0.00,-22.22,0.00,19.94,-0.13,24,0,0
31987,2,2,3,24.77,0.00,0.00,-23.72,0.00,22.40,-0.13,7,0,0
32098,2,2,3,27.15,0.00,0.00,-27.15,0.00,25.13,-0.13,23,0,0
32208,2,2,3,29.37,0.00,0.00,-29.37,0.00,28.03,-0.13,1,0,0
32308,2,2,3,31.41,0.00,0.00,-31.41,0.00,29.70,-0.13,10,0,0
32408,2,2,3,33.26,0.00,0.00,-33.26,0.00,31.64,-0.13,10,0,0
32508,2,2,3,34.90,0.00,0.00,-34.90,0.00,33.40,-0.13,5,0,0
32608,2,2,3,36.33,0.00,0.00,-36.33,0.00,34.90,-0.13,7,0,0
32708,2,2,3,37.53,0.00,0.00,-37.53,0.00,36.30,-0.13,5,0,0
